step,area_management,openning,simulation_name
1,Zone_3miles-2rectSud,0,Mesure1
2,Zone_3miles-2rectSud,0,Mesure1
3,Zone_3miles-2rectSud,0,Mesure1
4,Zone_3miles-2rectSud,0,Mesure1
5,Zone_3miles-2rectSud,0,Mesure1
6,Zone_3miles-2rectSud,0,Mesure1
7,Zone_3miles-2rectSud,0,Mesure1
8,Zone_3miles-2rectSud,0,Mesure1
9,Zone_3miles-2rectSud,0,Mesure1
10,Zone_3miles-2rectSud,0,Mesure1
11,Zone_3miles-2rectSud,0,Mesure1
12,Zone_3miles-2rectSud,0,Mesure1
1,Zone_ZFH_FrayereSole,0,Mesure2
2,Zone_ZFH_FrayereSole,0,Mesure2
3,Zone_ZFH_FrayereSole,0,Mesure2
4,Zone_ZFH_FrayereSole,1,Mesure2
5,Zone_ZFH_FrayereSole,1,Mesure2
6,Zone_ZFH_FrayereSole,1,Mesure2
7,Zone_ZFH_FrayereSole,1,Mesure2
8,Zone_ZFH_FrayereSole,1,Mesure2
9,Zone_ZFH_FrayereSole,1,Mesure2
10,Zone_ZFH_FrayereSole,1,Mesure2
11,Zone_ZFH_FrayereSole,1,Mesure2
12,Zone_ZFH_FrayereSole,0,Mesure2
1,zone_FermG,0,Mesure3-1
2,zone_FermG,0,Mesure3-1
3,zone_FermG,0,Mesure3-1
4,zone_FermG,1,Mesure3-1
5,zone_FermG,1,Mesure3-1
6,zone_FermG,1,Mesure3-1
7,zone_FermG,1,Mesure3-1
8,zone_FermG,1,Mesure3-1
9,zone_FermG,1,Mesure3-1
10,zone_FermG,1,Mesure3-1
11,zone_FermG,1,Mesure3-1
12,zone_FermG,1,Mesure3-1
1,zone_FermG,1,Mesure3-2
2,zone_FermG,0,Mesure3-2
3,zone_FermG,1,Mesure3-2
4,zone_FermG,1,Mesure3-2
5,zone_FermG,1,Mesure3-2
6,zone_FermG,1,Mesure3-2
7,zone_FermG,1,Mesure3-2
8,zone_FermG,1,Mesure3-2
9,zone_FermG,1,Mesure3-2
10,zone_FermG,1,Mesure3-2
11,zone_FermG,1,Mesure3-2
12,zone_FermG,1,Mesure3-2
1,zone_FermG,1,Mesure3-3
2,zone_FermG,1,Mesure3-3
3,zone_FermG,1,Mesure3-3
4,zone_FermG,1,Mesure3-3
5,zone_FermG,1,Mesure3-3
6,zone_FermG,1,Mesure3-3
7,zone_FermG,1,Mesure3-3
8,zone_FermG,1,Mesure3-3
9,zone_FermG,1,Mesure3-3
10,zone_FermG,1,Mesure3-3
11,zone_FermG,1,Mesure3-3
12,zone_FermG,1,Mesure3-3
1,Zone_Coraux,0,Mesure1
2,Zone_Coraux,0,Mesure1
3,Zone_Coraux,0,Mesure1
4,Zone_Coraux,0,Mesure1
5,Zone_Coraux,0,Mesure1
6,Zone_Coraux,0,Mesure1
7,Zone_Coraux,0,Mesure1
8,Zone_Coraux,0,Mesure1
9,Zone_Coraux,0,Mesure1
10,Zone_Coraux,0,Mesure1
11,Zone_Coraux,0,Mesure1
12,Zone_Coraux,0,Mesure1
1,Zone_Coraux,0,Mesure2
2,Zone_Coraux,0,Mesure2
3,Zone_Coraux,0,Mesure2
4,Zone_Coraux,0,Mesure2
5,Zone_Coraux,0,Mesure2
6,Zone_Coraux,0,Mesure2
7,Zone_Coraux,0,Mesure2
8,Zone_Coraux,0,Mesure2
9,Zone_Coraux,0,Mesure2
10,Zone_Coraux,0,Mesure2
11,Zone_Coraux,0,Mesure2
12,Zone_Coraux,0,Mesure2
1,Zone_Coraux,0,Mesure3-1
2,Zone_Coraux,0,Mesure3-1
3,Zone_Coraux,0,Mesure3-1
4,Zone_Coraux,0,Mesure3-1
5,Zone_Coraux,0,Mesure3-1
6,Zone_Coraux,0,Mesure3-1
7,Zone_Coraux,0,Mesure3-1
8,Zone_Coraux,0,Mesure3-1
9,Zone_Coraux,0,Mesure3-1
10,Zone_Coraux,0,Mesure3-1
11,Zone_Coraux,0,Mesure3-1
12,Zone_Coraux,0,Mesure3-1
1,Zone_Coraux,0,Mesure3-2
2,Zone_Coraux,0,Mesure3-2
3,Zone_Coraux,0,Mesure3-2
4,Zone_Coraux,0,Mesure3-2
5,Zone_Coraux,0,Mesure3-2
6,Zone_Coraux,0,Mesure3-2
7,Zone_Coraux,0,Mesure3-2
8,Zone_Coraux,0,Mesure3-2
9,Zone_Coraux,0,Mesure3-2
10,Zone_Coraux,0,Mesure3-2
11,Zone_Coraux,0,Mesure3-2
12,Zone_Coraux,0,Mesure3-2
1,Zone_Coraux,0,Mesure3-3
2,Zone_Coraux,0,Mesure3-3
3,Zone_Coraux,0,Mesure3-3
4,Zone_Coraux,0,Mesure3-3
5,Zone_Coraux,0,Mesure3-3
6,Zone_Coraux,0,Mesure3-3
7,Zone_Coraux,0,Mesure3-3
8,Zone_Coraux,0,Mesure3-3
9,Zone_Coraux,0,Mesure3-3
10,Zone_Coraux,0,Mesure3-3
11,Zone_Coraux,0,Mesure3-3
12,Zone_Coraux,0,Mesure3-3
