metier;area_management;number_cell_management;number_cell_metier;number_cell_intersection
8.a;zbsi_penatules;106;230;50
8.a;Zone_3miles-2rectSud;52;230;12
8.a;Zone_Coraux;48;230;15
8.a;zone_FermG;702;230;230
8.a;Zone_ZFH_FrayereSole;56;230;36
8.b;zbsi_penatules;106;124;44
8.b;Zone_3miles-2rectSud;52;124;7
8.b;Zone_Coraux;48;124;9
8.b;zone_FermG;702;124;124
8.b;Zone_ZFH_FrayereSole;56;124;19
D-Zunique @ 15-Inf;zbsi_penatules;106;5;1
D-Zunique @ 15-Inf;Zone_3miles-2rectSud;52;5;0
D-Zunique @ 15-Inf;Zone_Coraux;48;5;0
D-Zunique @ 15-Inf;zone_FermG;702;5;5
D-Zunique @ 15-Inf;Zone_ZFH_FrayereSole;56;5;0
D-Zunique @ other-12-15;zbsi_penatules;106;92;19
D-Zunique @ other-12-15;Zone_3miles-2rectSud;52;92;14
D-Zunique @ other-12-15;Zone_Coraux;48;92;0
D-Zunique @ other-12-15;zone_FermG;702;92;92
D-Zunique @ other-12-15;Zone_ZFH_FrayereSole;56;92;21
D_2_Zunique @ Caseyeurs Métiers de l hameçon exclusifs-10-12;zbsi_penatules;106;13;0
D_2_Zunique @ Caseyeurs Métiers de l hameçon exclusifs-10-12;Zone_3miles-2rectSud;52;13;1
D_2_Zunique @ Caseyeurs Métiers de l hameçon exclusifs-10-12;Zone_Coraux;48;13;0
D_2_Zunique @ Caseyeurs Métiers de l hameçon exclusifs-10-12;zone_FermG;702;13;13
D_2_Zunique @ Caseyeurs Métiers de l hameçon exclusifs-10-12;Zone_ZFH_FrayereSole;56;13;2
D_2_Zunique @ Chalutiers Arts dormants-10-12;zbsi_penatules;106;50;2
D_2_Zunique @ Chalutiers Arts dormants-10-12;Zone_3miles-2rectSud;52;50;9
D_2_Zunique @ Chalutiers Arts dormants-10-12;Zone_Coraux;48;50;0
D_2_Zunique @ Chalutiers Arts dormants-10-12;zone_FermG;702;50;50
D_2_Zunique @ Chalutiers Arts dormants-10-12;Zone_ZFH_FrayereSole;56;50;15
D_2_Zunique @ Chalutiers de fond exclusifs-10-12;zbsi_penatules;106;44;2
D_2_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_3miles-2rectSud;52;44;12
D_2_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_Coraux;48;44;0
D_2_Zunique @ Chalutiers de fond exclusifs-10-12;zone_FermG;702;44;44
D_2_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_ZFH_FrayereSole;56;44;4
D_2_Zunique @ Chalutiers Dragueurs-10-12;zbsi_penatules;106;137;29
D_2_Zunique @ Chalutiers Dragueurs-10-12;Zone_3miles-2rectSud;52;137;14
D_2_Zunique @ Chalutiers Dragueurs-10-12;Zone_Coraux;48;137;0
D_2_Zunique @ Chalutiers Dragueurs-10-12;zone_FermG;702;137;137
D_2_Zunique @ Chalutiers Dragueurs-10-12;Zone_ZFH_FrayereSole;56;137;26
D_2_Zunique @ Chalutiers Tamiseurs-10-12;zbsi_penatules;106;40;2
D_2_Zunique @ Chalutiers Tamiseurs-10-12;Zone_3miles-2rectSud;52;40;8
D_2_Zunique @ Chalutiers Tamiseurs-10-12;Zone_Coraux;48;40;0
D_2_Zunique @ Chalutiers Tamiseurs-10-12;zone_FermG;702;40;40
D_2_Zunique @ Chalutiers Tamiseurs-10-12;Zone_ZFH_FrayereSole;56;40;12
D_2_Zunique @ Fileyeurs Caseyeurs exclusifs-0-10;zbsi_penatules;106;11;0
D_2_Zunique @ Fileyeurs Caseyeurs exclusifs-0-10;Zone_3miles-2rectSud;52;11;4
D_2_Zunique @ Fileyeurs Caseyeurs exclusifs-0-10;Zone_Coraux;48;11;0
D_2_Zunique @ Fileyeurs Caseyeurs exclusifs-0-10;zone_FermG;702;11;11
D_2_Zunique @ Fileyeurs Caseyeurs exclusifs-0-10;Zone_ZFH_FrayereSole;56;11;1
D_2_Zunique @ Flottilles agrégées-0-10;zbsi_penatules;106;56;3
D_2_Zunique @ Flottilles agrégées-0-10;Zone_3miles-2rectSud;52;56;13
D_2_Zunique @ Flottilles agrégées-0-10;Zone_Coraux;48;56;0
D_2_Zunique @ Flottilles agrégées-0-10;zone_FermG;702;56;56
