population;group;age;length;k;l_inf;t_0;l_mat
Merluccius_merluccius;0;0;1;NA;130;NA;33
Merluccius_merluccius;1;0;2;NA;130;NA;33
Merluccius_merluccius;2;0;3;NA;130;NA;33
Merluccius_merluccius;3;0;4;NA;130;NA;33
Merluccius_merluccius;4;0;5;NA;130;NA;33
Merluccius_merluccius;5;0;6;NA;130;NA;33
Merluccius_merluccius;6;0;7;NA;130;NA;33
Merluccius_merluccius;7;0;8;NA;130;NA;33
Merluccius_merluccius;8;0;9;NA;130;NA;33
Merluccius_merluccius;9;0;10;NA;130;NA;33
Merluccius_merluccius;10;0;11;NA;130;NA;33
Merluccius_merluccius;11;0;12;NA;130;NA;33
Merluccius_merluccius;12;0;13;NA;130;NA;33
Merluccius_merluccius;13;0;14;NA;130;NA;33
Merluccius_merluccius;14;0;15;NA;130;NA;33
Merluccius_merluccius;15;0;16;NA;130;NA;33
Merluccius_merluccius;16;0;17;NA;130;NA;33
Merluccius_merluccius;17;0;18;NA;130;NA;33
Merluccius_merluccius;18;0;19;NA;130;NA;33
Merluccius_merluccius;19;0;20;NA;130;NA;33
Merluccius_merluccius;20;0;21;NA;130;NA;33
Merluccius_merluccius;21;1;22;NA;130;NA;33
Merluccius_merluccius;22;1;23;NA;130;NA;33
Merluccius_merluccius;23;1;24;NA;130;NA;33
Merluccius_merluccius;24;1;25;NA;130;NA;33
Merluccius_merluccius;25;1;26;NA;130;NA;33
Merluccius_merluccius;26;1;27;NA;130;NA;33
Merluccius_merluccius;27;1;28;NA;130;NA;33
Merluccius_merluccius;28;1;29;NA;130;NA;33
Merluccius_merluccius;29;1;30;NA;130;NA;33
Merluccius_merluccius;30;1;31;NA;130;NA;33
Merluccius_merluccius;31;1;32;NA;130;NA;33
Merluccius_merluccius;32;1;33;NA;130;NA;33
Merluccius_merluccius;33;1;34;NA;130;NA;33
Merluccius_merluccius;34;1;35;NA;130;NA;33
Merluccius_merluccius;35;1;36;NA;130;NA;33
Merluccius_merluccius;36;1;37;NA;130;NA;33
Merluccius_merluccius;37;1;38;NA;130;NA;33
Merluccius_merluccius;38;2;39;NA;130;NA;33
Merluccius_merluccius;39;2;40;NA;130;NA;33
Merluccius_merluccius;40;2;42;NA;130;NA;33
Merluccius_merluccius;41;2;44;NA;130;NA;33
Merluccius_merluccius;42;2;46;NA;130;NA;33
Merluccius_merluccius;43;2;48;NA;130;NA;33
Merluccius_merluccius;44;2;50;NA;130;NA;33
Merluccius_merluccius;45;2;52;NA;130;NA;33
Merluccius_merluccius;46;3;54;NA;130;NA;33
Merluccius_merluccius;47;3;56;NA;130;NA;33
Merluccius_merluccius;48;3;58;NA;130;NA;33
Merluccius_merluccius;49;3;60;NA;130;NA;33
Merluccius_merluccius;50;3;62;NA;130;NA;33
Merluccius_merluccius;51;3;64;NA;130;NA;33
Merluccius_merluccius;52;3;66;NA;130;NA;33
Merluccius_merluccius;53;4;68;NA;130;NA;33
Merluccius_merluccius;54;4;70;NA;130;NA;33
Merluccius_merluccius;55;4;72;NA;130;NA;33
Merluccius_merluccius;56;4;74;NA;130;NA;33
Merluccius_merluccius;57;4;76;NA;130;NA;33
Merluccius_merluccius;58;5;78;NA;130;NA;33
Merluccius_merluccius;59;5;80;NA;130;NA;33
Merluccius_merluccius;60;5;82;NA;130;NA;33
Merluccius_merluccius;61;5;84;NA;130;NA;33
Merluccius_merluccius;62;6;86;NA;130;NA;33
Merluccius_merluccius;63;6;88;NA;130;NA;33
Merluccius_merluccius;64;6;90;NA;130;NA;33
Merluccius_merluccius;65;6;92;NA;130;NA;33
Merluccius_merluccius;66;7;94;NA;130;NA;33
Merluccius_merluccius;67;7;96;NA;130;NA;33
Merluccius_merluccius;68;7;98;NA;130;NA;33
Merluccius_merluccius;69;8;100;NA;130;NA;33
Merluccius_merluccius;70;10;110;NA;130;NA;33
Merluccius_merluccius;71;14;120;NA;130;NA;33
Solea_solea;0;2;23.13296012627986;0.365;45.2;0.0083;22
Solea_solea;1;3;29.80434869363998;0.365;45.2;0.0083;22
Solea_solea;2;4;34.458818559108074;0.365;45.2;0.0083;22
Solea_solea;3;5;37.70613199465618;0.365;45.2;0.0083;22
Solea_solea;4;6;39.97170570197048;0.365;45.2;0.0083;22
Solea_solea;5;7;41.55234284253264;0.365;45.2;0.0083;22
Solea_solea;6;8;42.65511595561148;0.365;45.2;0.0083;22
Nephrops_norvegicus;0;NA;0;NA;78;NA;24
Nephrops_norvegicus;1;NA;10;NA;78;NA;24
Nephrops_norvegicus;2;NA;12;NA;78;NA;24
Nephrops_norvegicus;3;NA;14;NA;78;NA;24
Nephrops_norvegicus;4;NA;16;NA;78;NA;24
Nephrops_norvegicus;5;NA;18;NA;78;NA;24
Nephrops_norvegicus;6;NA;20;NA;78;NA;24
Nephrops_norvegicus;7;NA;22;NA;78;NA;24
Nephrops_norvegicus;8;NA;24;NA;78;NA;24
Nephrops_norvegicus;9;NA;26;NA;78;NA;24
Nephrops_norvegicus;10;NA;28;NA;78;NA;24
Nephrops_norvegicus;11;NA;30;NA;78;NA;24
Nephrops_norvegicus;12;NA;32;NA;78;NA;24
Nephrops_norvegicus;13;NA;34;NA;78;NA;24
Nephrops_norvegicus;14;NA;36;NA;78;NA;24
Nephrops_norvegicus;15;NA;38;NA;78;NA;24
Nephrops_norvegicus;16;NA;40;NA;78;NA;24
Nephrops_norvegicus;17;NA;42;NA;78;NA;24
Nephrops_norvegicus;18;NA;44;NA;78;NA;24
Nephrops_norvegicus;19;NA;46;NA;78;NA;24
Nephrops_norvegicus;20;NA;48;NA;78;NA;24
Nephrops_norvegicus;21;NA;50;NA;78;NA;24
Nephrops_norvegicus;22;NA;52;NA;78;NA;24
Nephrops_norvegicus;23;NA;54;NA;78;NA;24
Nephrops_norvegicus;24;NA;56;NA;78;NA;24
Nephrops_norvegicus;25;NA;58;NA;78;NA;24
Nephrops_norvegicus;26;NA;60;NA;78;NA;24
Nephrops_norvegicus;27;NA;62;NA;78;NA;24
Nephrops_norvegicus;28;NA;64;NA;78;NA;24
Nephrops_norvegicus;29;NA;66;NA;78;NA;24
Nephrops_norvegicus;30;NA;68;NA;78;NA;24
Nephrops_norvegicus;31;NA;70;NA;78;NA;24
Nephrops_norvegicus;32;NA;72;NA;78;NA;24
Nephrops_norvegicus;33;NA;74;NA;78;NA;24
Nephrops_norvegicus;34;NA;76;NA;78;NA;24
Nephrops_norvegicus;35;NA;10;NA;78;NA;24
Nephrops_norvegicus;36;NA;12;NA;78;NA;24
Nephrops_norvegicus;37;NA;14;NA;78;NA;24
Nephrops_norvegicus;38;NA;16;NA;78;NA;24
Nephrops_norvegicus;39;NA;18;NA;78;NA;24
Nephrops_norvegicus;40;NA;20;NA;78;NA;24
Nephrops_norvegicus;41;NA;22;NA;78;NA;24
Nephrops_norvegicus;42;NA;24;NA;78;NA;24
Nephrops_norvegicus;43;NA;26;NA;78;NA;24
Nephrops_norvegicus;44;NA;28;NA;78;NA;24
Nephrops_norvegicus;45;NA;30;NA;78;NA;24
Nephrops_norvegicus;46;NA;32;NA;78;NA;24
Nephrops_norvegicus;47;NA;34;NA;78;NA;24
Nephrops_norvegicus;48;NA;36;NA;78;NA;24
Nephrops_norvegicus;49;NA;38;NA;78;NA;24
Nephrops_norvegicus;50;NA;40;NA;78;NA;24
Nephrops_norvegicus;51;NA;42;NA;78;NA;24
Nephrops_norvegicus;52;NA;44;NA;78;NA;24
Nephrops_norvegicus;53;NA;46;NA;78;NA;24
Nephrops_norvegicus;54;NA;48;NA;78;NA;24
Nephrops_norvegicus;55;NA;50;NA;78;NA;24
Nephrops_norvegicus;56;NA;52;NA;78;NA;24
Nephrops_norvegicus;57;NA;54;NA;78;NA;24
Lophius_piscatorius;0;0;0;0.1075;171;0;43
Lophius_piscatorius;1;1;17.428914660912753;0.1075;171;0;43
Lophius_piscatorius;2;2;33.0814137296771;0.1075;171;0;43
Lophius_piscatorius;3;3;47.13855566101742;0.1075;171;0;43
Lophius_piscatorius;4;4;59.76294480231287;0.1075;171;0;43
Lophius_piscatorius;5;5;71.10061230039318;0.1075;171;0;43
Lophius_piscatorius;6;6;81.28270529977262;0.1075;171;0;43
Lophius_piscatorius;7;7;90.42700397192596;0.1075;171;0;43
Lepidorhombus_whiffiagonis;0;1;16.78922071582017;0.11;56;-2.24;24
Lepidorhombus_whiffiagonis;1;2;20.873645445653736;0.11;56;-2.24;24
Lepidorhombus_whiffiagonis;2;3;24.532612541687953;0.11;56;-2.24;24
Lepidorhombus_whiffiagonis;3;4;27.810440166242206;0.11;56;-2.24;24
Lepidorhombus_whiffiagonis;4;5;30.746830041935844;0.11;56;-2.24;24
Lepidorhombus_whiffiagonis;5;6;33.37734832712133;0.11;56;-2.24;24
Lepidorhombus_whiffiagonis;6;7;35.733856400512174;0.11;56;-2.24;24
Lepidorhombus_whiffiagonis;7;8;37.84489677275756;0.11;56;-2.24;24
Lepidorhombus_whiffiagonis;8;9;39.73603879920406;0.11;56;-2.24;24
Lepidorhombus_whiffiagonis;9;10;41.430188381188685;0.11;56;-2.24;24
